date,count,total_count,ratio
2018-11-25,27,32205,0.0008383791336748953
2018-12-02,32,63092,0.0005071958409941039
2018-12-09,12,116866,0.00010268170383173892
2018-12-16,4,112654,3.5506950485557545e-05
2018-12-23,8,104347,7.666727361591613e-05
2018-12-30,11,75177,0.00014632134828471475
2019-01-06,29,96116,0.0003017187565025594
2019-01-13,5,112951,4.426698302803871e-05
2019-01-20,25,104561,0.00023909488241313683
2019-01-27,14,116795,0.0001198681450404555
2019-02-03,24,122140,0.00019649582446373015
2019-02-10,40,116733,0.00034266231485526803
2019-02-17,16,114420,0.00013983569306065373
2019-02-24,32,103295,0.00030979234232053827
2019-03-03,38,129208,0.0002940994365673952
2019-03-10,19,124732,0.00015232658820511175
2019-03-17,9,129340,6.958404205968765e-05
2019-03-24,10,112298,8.904878092218917e-05
2019-03-31,29,103382,0.0002805130486931961
2019-04-07,17,93142,0.00018251701702776406
2019-04-14,16,139746,0.00011449343809482919
2019-04-21,11,146293,7.519156760747268e-05
2019-04-28,14,230999,6.0606322971095115e-05
2019-05-05,36,123428,0.0002916680169815601
2019-05-12,10,115756,8.638861052558831e-05
2019-05-19,14,155814,8.985071944754643e-05
2019-05-26,24,120854,0.00019858672447746868
2019-06-02,12,108557,0.00011054100610739059
2019-06-09,12,118833,0.0001009820504405342
2019-06-16,12,119307,0.00010058085443435842
2019-06-23,12,114470,0.00010483096007687604
2019-06-30,9,112955,7.967774777566287e-05
2019-07-07,13,97716,0.00013303860166195914
2019-07-14,24,107763,0.00022271094902703154
2019-07-21,31,110881,0.0002795790081258286
2019-07-28,19,109977,0.0001727633959827964
2019-08-04,41,110190,0.00037208458117796536
2019-08-11,47,104272,0.0004507442074574191
2019-08-18,11,100403,0.00010955847932830693
2019-08-25,21,107598,0.00019517091395750851
2019-09-01,19,108064,0.00017582173526798934
2019-09-08,12,103952,0.00011543789441280592
2019-09-15,38,114005,0.0003333187140914872
2019-09-22,85,112279,0.0007570427239287845
2019-09-29,38,115144,0.0003300215382477593
2019-10-06,26,111274,0.00023365745816632816
2019-10-13,15,109000,0.00013761467889908258
2019-10-20,5,101534,4.924458801977663e-05
2019-10-27,26,112284,0.00023155569805136973
2019-11-03,6,105895,5.6659898956513525e-05
2019-11-10,25,111923,0.00022336785111192516
2019-11-17,52,112039,0.000464124099643874
2019-11-24,38,111883,0.0003396405173261353
2019-12-01,32,93862,0.00034092604035712
2019-12-08,14,112093,0.00012489629147225965
2019-12-15,15,111072,0.00013504753673293
2019-12-22,13,106908,0.00012159988027088712
2019-12-29,32,72400,0.0004419889502762431
2020-01-05,28,85958,0.00032574047790781546
2020-01-12,8,112006,7.142474510294091e-05
2020-01-19,15,112287,0.00013358625664591626
2020-01-26,25,111254,0.0002247110216261887
2020-02-02,28,113629,0.0002464159677547105
2020-02-09,15,103389,0.00014508313263499986
2020-02-16,35,116168,0.00030128779009710077
2020-02-23,30,107374,0.00027939724700579285
2020-03-01,33,118213,0.00027915711469973694
2020-03-08,22,117275,0.00018759326369644
2020-03-15,51,114227,0.00044647937878084865
2020-03-22,47,116235,0.00040435324988170515
2020-03-29,65,112169,0.0005794827447868841
2020-04-05,75,108858,0.0006889709529846222
2020-04-12,53,102329,0.0005179372416421542
2020-04-19,78,100058,0.0007795478622399009
2020-04-26,56,104331,0.000536753218123089
2020-05-03,65,102128,0.0006364562118126273
2020-05-10,78,102243,0.0007628884128986826
2020-05-17,77,100263,0.0007679802120423287
2020-05-24,43,98652,0.00043587560313019505
2020-05-31,56,93234,0.0006006392517751035
2020-06-07,56,97378,0.000575078559838978
2020-06-14,65,95990,0.0006771538701948119
2020-06-21,41,94104,0.00043568817478534385
2020-06-28,28,85997,0.000325592753235578
2020-07-05,19,80107,0.00023718276804773615
2020-07-12,40,83917,0.00047666146311236104
2020-07-19,25,83335,0.0002999940001199976
2020-07-26,33,70337,0.00046916985370430925
2020-08-02,21,68334,0.00030731407498463427
2020-08-09,23,56462,0.00040735361836279267
2020-08-16,36,82564,0.00043602538636693957
2020-08-23,62,85074,0.0007287772997625596
2020-08-30,33,85086,0.00038784288837176504
2020-09-06,5,83875,5.961251862891207e-05
2020-09-13,24,80776,0.0002971179558284639
2020-09-20,13,87355,0.00014881804132562532
2020-09-27,22,85373,0.0002576927131528703
2020-10-04,21,86541,0.0002426595486532395
2020-10-11,26,84360,0.00030820293978188717
